comune,provincia,regione,chi,descrizione,destinatari,contatti,fonte,tag
In tutta Italia,,,Esselunga,,,,https://www.esselunga.it/cms/homepage.html/,Consegne e commissioni
Mirano,Venezia,Veneto,Associazione Altea,,,3468269712,https://www.facebook.com/generazione90/photos/a.594259937410630/1475825895920692/?type=3&theater,Consegne e commissioni
Gallarate,Milano,Milano,,,,,https://bit.ly/MappaNegoziGallarate?fbclid=IwAR0YvTDOXO0zzQ1ODwOMlDWlc8ghtnmZt4-2Mz4j3pEgGNNkszZwl3LMuZM,Consegne e commissioni
Noale,Venezia,Veneto,,,,vaccino.solidale@gmail.com; 3924283285,https://www.facebook.com/generazione90/photos/a.594259937410630/1475825895920692/?type=3&theater,Consegne e commissioni
Cogliate,Monza,Lombardia,Gruppo Volontari Cogliate,,,,https://www.ilnotiziario.net/wp/2020/03/06/coronavirus-cogliate-comune-volontari-spesa-farmaci-domicilio/,Consegne e commissioni
Seregno,Monza,Lombardia,Cooperativa Sociosfera,,, 348/1228939,https://www.ilcittadinomb.it/stories/Cronaca/coronavirus-cibo-e-medicinali-a-domicilio-per-le-persone-anziane-le-iniziative_1343943_11/,Consegne e commissioni
Giussano,Brianza,Lombardia,Croce Bianca,,,"0362-850269, mail sede.giussano@crocebianca.org.",https://www.ilcittadinomb.it/stories/Cronaca/coronavirus-cibo-e-medicinali-a-domicilio-per-le-persone-anziane-le-iniziative_1343943_11/,Consegne e commissioni
Concorezzo,Monza,Lombardia,Auser,,,039/2454544,,Consegne e commissioni
"Bellusco, Cavenago, Mezzago, Ornago",Monza,Lombardia,Polizia Municipale,,,3962083250,https://www.ilcittadinomb.it/stories/Cronaca/coronavirus-cibo-e-medicinali-a-domicilio-per-le-persone-anziane-le-iniziative_1343943_11/,Consegne e commissioni
Montevarchi,Arezzo,Toscana,Ass.Bakonghe,,,3334463653,http://www.bakonghe.it/news.asp?s=9&n=90,Consegne e commissioni
Cavriglia,Arezzo,Toscana,Ass.ConKarma,,,conkarma@conkarma.it,https://www.facebook.com/notes/conkarma/coronavirus-e-scuole-chiuse-conkarma-potenzia-il-servizio-di-babysitting/3060090207348793/,Servizi e iniziative solidali private
"San Giustino, Laterina, Montalto",Arezzo,Toscana,Misericordia,,,393 2777657,,Consegne e commissioni
Milano,Milano,Lombardia,,,chi abita a Milano e ha figl,,https://www.facebook.com/groups/685478785603562/,Servizi e iniziative solidali private
Italia,Italia,Italia,NonUnaDiMeno,,tutti,,@ Istagram TV  e https://www.facebook.com/nonunadimenomilano/,Didattica a distanza
Italia,Italia,Italia,Fridays for future,,tutti,,https://www.facebook.com/FridaysItalia/,Didattica a distanza
zone rosse,Italia,Italia,Amazon,Video streaming gratis fino al 31 marzo,tutti,,,Servizi e iniziative solidali private
Bari,Bari,Puglia,Libreria Spine,Consegna a domicilio di libri,residenti a Bari,,https://www.facebook.com/spinebookstore/posts/1392612424251841,Consegne e commissioni
Venezia,Venezia,Veneto,"Gruppo Fb ""Venezia non e´Disneyland""",Spesa a domicilio per anziani,Over 65,,https://www.facebook.com/VeneziaNONDisneyland/posts/2711708585782990,Consegne e commissioni
Italia,Italia,Italia,Riviste Quinte Parallele,Concerti social online,tutt,,https://www.facebook.com/quinteparallelerivista/posts/2701633279873178,Didattica a distanza
Torino,Torino,Piemonte,Libreria del Golem,Consegna libri a domicilio con spedizione gratuita,residenti a Torino,,https://www.facebook.com/lalibreriadelgolem/photos/a.1599887820243956/2718884935010900/?type=3,Consegne e commissioni
Bologna,Bologna,Emilia-Romagna,Ospedale Bergamo,Gruppo Facebook per raccogliere iniziative locali di solidarieta´,residenti a Bologna e provincia,,https://www.facebook.com/groups/2260243707603221/,Servizi e iniziative solidali private
Milano,Milano,Lombardia,Comune di Milano,Supporto telefonico Comune di Milano,"Residenti, domiciliati Comune di Milano",02-0202,,Servizi e iniziative solidali pubbliche
Milano,Milano,Lombardia,Coop Milano,Consegna a domicilio gratuita,Over 65,,https://www.partecipacoop.org/consegna-gratuita-della-spesa-a-domicilio-per-over-65/,Consegne e commissioni
Italia,Italia,Italia,Intesa San Paolo,Sospensione da 3 a 6 mesi della rata dei finanziamenti,clienti intesa San Paolo,,https://group.intesasanpaolo.com/it/sala-stampa/news/il-mondo-di-intesa-sanpaolo/2020/coronavirus--intesa-sanpaolo-in-aiuto--di-famiglie-e-imprese,Servizi e iniziative solidali private
tutta Italia,tutta Italia,tutta Italia,GD Milano,"Aiuti a vicini di casa anziani: dal fare la spesa, al comprare farmaci o dare una mano nella gestione degli animali domestici",over 65,,https://www.giovanidemocraticimilano.com/post/per-un-buon-vicinato?fbclid=IwAR1_QcEK5q8_uE5c5eUn2qhiZ-MGakS2IDx5ov8LtFgfkwf_GM5CUGd1dAw,Consegne e commissioni
Cosenza,Cosenza,Calabria,Ass. Terra di Piero,Consegna a domicilio gratuita,over 65,3382073382,https://www.facebook.com/TerradiPiero/,Consegne e commissioni
Cento,Ferrara,Emilia-Romagna,B-Yourself,Colloqui online gratuiti support psicologico,residenti Bologna prov,,https://www.facebook.com/events/220634185998977/?event_time_id=220635752665487,Supporto psicologico
,,Lombardia,Sipem Sos,Supporto psicologico telefonico gratuito,persone in quarantena o isolamento domiciliare in Lombardia,,https://www.sipemsos.org/news.html,Supporto psicologico
Crotone,Cosenza,Calabria,Caffè Italia Crotone ,Consegna prodotti bar a domicilio ,,96221163,https://www.facebook.com/Caff%C3%A8-Italia-Crotone-589213207847008/?__xts__[0]=68.ARBmAaIVUHjPL252OMof8HsQLlRQ6AnqvzzJd3-THmInCoSg5aRwy9KlDFgonhC0JzzkrddsRJ0nJly4q-3u4MMIMsIBD8lEa9eNMhxxpyupE0j7QtlbWe3Imwbwr3XxV3q3Aq-Fn0yVe_bPHH63Fxjfy_mjXER2IdTh_BwjGjIert8a7Yv7hpsGXiXflpTsbG4ZixrcJ7EJHKM1mrM2x7HlSlmOZtReadK29-5Ruua5DforDFO5OEDVar8EZ0j5mSx9Gs8FTOtxHDlNBUVBjZMwRGdB2o4Kmv6oGeDG9F3Ay6V3yAzMAzXVwJVCI-bqeRW_0nNAaSCF5wIQWGD8xw,Consegne e commissioni
Catania,Catania,Sicilia,Gammazita,Consegna spesa a domicilio,anziani e persone con patologie,,https://www.facebook.com/AssociazioneGammazita/photos/a.711318028890576/2946291755393181/?type=3&theater,Consegne e commissioni
Ancona,Ancona,Marche,Il Cenacolo dei Farfalloni,spettacoli comici in streaming,tutti,,https://www.facebook.com/farfalloni.teatro/posts/2921734271223850?__xts__[0]=68.ARAg_88NOH-Bmb8r9nv2Li9EdHBC39vaHQQ0ZLmW4dZHVAFk4Nd_knzkD7a7iAeRz9Md4GIrLRsq-4ZK46kI6-yVSG9QdUbGTtn4EkdGsVTqLSq9csqJNGPCF4A3l-5rRf0nURCPM7aR5BW2QtVNjTxxXhIdNdZEpr9nLziOVQityOLvHnJcE8Tf4v3JQ28A7TLIXm2dtxPAZ8VNsoBBQWtHISxI-l5_yKfMEnVkGjTa5faHBJNw_OROM6yvVWQspOBxa9GC_HqZxcMjLKGkIWHw88WJoZ64mVzXytHNbbFVBL-9KZZtzFsDfj4Ias_7jk_Hlyffu-z1AYFVNfBbuwxhftMfGC6eP6_j-TgmPwi9rmkqm11XgEqk3k6dJVBLqT2sMsyeA1udFttqoW9Mq5qZVe7cVKH5WKSNL4pEM_vweVT8d1YspFXwT6th_KRWpvky_sbYYYG4o7u7yIe0wZDu4QE1jvJL1ld_S-X9YnkwxN95dm2mleoYRHVx&__tn__=K-R,Attività culturali e ricreative
Ancona,Ancona,Marche,Casa delle Culture,Portierato di quartiere,residenti quartiere Vallemiano,3737660799,https://www.facebook.com/casacultureancona/photos/a.106921962675490/3051249511576039/?type=3&theater,Consegne e commissioni
Nazionale,,,Il grande colibrì,"informazioni su Covid19 in lingua e con video, per stranieri",stranieri,,https://www.ilgrandecolibri.com/coronavirus-spiegato-migranti-asilanti/,Informazioni utili
Arquata del Tronto,Ascoli Piceno,Marche,Croce Verde,commissioni (farmaci e alimenti),anziani/e e persone con particolari difficoltà dei comuni di Arquata del Tronto e Acquasanta Terme,numero da chiamare: 0736 802459,,Consegne e commissioni
Isola del Giglio,Grosseto,Toscana,Comitato San Mamiliano,commisioni (alimenti e farmaci),anziani e malati,"Stefania 3290245553, Filippo 3286934513, Fabio 3338179662, Andrea 3402612926",https://www.ilgiunco.net/2020/03/10/la-solidarieta-ai-tempi-del-coronavirus-sono-michele-del-terzo-piano-se-volete-vado-a-farvi-la-spesa/,Consegne e commissioni
Italia,Italia,Italia,canale telegram @storiealtelefono ,Storie lette ad alta voce,per tutti,canale telegram @storiealtelefono per ascoltare. canale telegram @vocistoriealtelefono per registrare storie,https://www.radiocittafujiko.it/resistenza-al-coronavirus-2-le-storie-al-telefono-di-chi-e-senza-reddito/?fbclid=IwAR3IYyyk0MGzxtxM3TrI1kycHivJW8_ip1arTX-f3xRqWNvpQt_Bs0hS1_o,Attività culturali e ricreative
Italia,Italia,Italia,Radio Onda d'urto,Disposizioni decreto tradotte in varie lingue,"Persone che parlano inglese, framcese, russo, spagnolo, wolof, pashtun, pulaar, bambara.",,https://www.radiondadurto.org/2020/03/10/coronavirus-traduzioni-multilingue-sulle-disposizioni-anti-contagio/,Informazioni utili
Milano ,Milano,lombardia ,social street - baia del re ,"social aiuta per spesa, medicina e prime necessità. c'è un gruppo che supporta la collettività. ",tutti ,social baia del re ,"facebook: residenti baia del re (montegani, volvinio e dintorni) ",Servizi e iniziative solidali private
Italia,Italia,Italia,lavoratori della cultura,lettura giornaliera di tutto il Decamerone. dal 29 febbraio al 9 marzo.,tutti,https://www.facebook.com/decamerone2020/,https://www.facebook.com/decamerone2020/,Attività culturali e ricreative
Italia,Italia,Italia,Ischia Film Festival,Visione libera e gratuita dei film in concorso a Ischia Film Festival,tutti,,http://www.ischiafilmfestival.it/index.php/it/iscrivere-un-film?fbclid=IwAR0UuphpaD8Cvw5Pv32kKuBy8aB9aQbGBDvAgdAPmQ6N4PcqHfs3pp5r5TM,Attività culturali e ricreative
Italia,Italia,Italia,Lezioni sul sofà,"Fiabe, racconti, approfondimenti scolastici",tutti. Per età diverse,,https://www.lezionisulsofa.it/?fbclid=IwAR2S3eR0btgrv3-O4CjeaUFogtFe2wTVsmXbrE_Y3YFSBu-o7VKbLPun9Vw,Didattica a distanza
Italia,Italia,Italia,Livio Vianello,"Filastrocche al telefonino. Dal marzo al 3 aprile da lun a ven. Dalle 10 alle 11, dalle 16 alle 17",,Livio Vianello 331 9060795,,Attività culturali e ricreative
Italia,Italia,Italia,Croce Rossa Italiana,"""Il Tempo della Gentilezza"". Consegna spesa, beni di prima neccesità, farmaci. Trasporto infermi","anziani, persone fragili",contattare il comitato locale oppure numero verde Sala Operativa 800 - 06 55 10,https://www.repubblica.it/solidarieta/2020/03/10/news/coronavirus_rocca_per_croce_rossa_e_il_tempo_della_gentilezza_dalla_spesa_a_domicilio_al_trasporto_sanitario_-250835208/?fbclid=IwAR0SF6GRmNXthqaCs_6jNfjKV6IDuuk5a1YqAPi9uc9uWTFjYoQcKh-Jyn4,Consegne e commissioni
Cosenza,Cosenza,Calabria,Radio Ciroma,Informazioni su disagi e criticità,tutti,366 4185972,https://www.facebook.com/photo.php?fbid=10218261149973887&set=p.10218261149973887&type=3&theater,Servizi e iniziative solidali private
Cosenza,Cosenza,Calabria,Ass. La Terra di Piero,Servizi a domicilio,Tutti,info@laterradipiero.it,dbQMTMYzw88_Yg4KQczFmGtuCFEiea1l_sQH2jAeNZmS2jOk8O2jmt8vfjFkFGL8joj0mAhB3coJl7i7flkXHD5Xf3uI43zF6p7LzL4PhwXjcQinmGQcLmKapXCTVCK0Sf8LFnM3unxacrVtK_9evpIzjOMqVsFL3UcsrExdx8GN33PKFuw65xr5s06Cb7M,Servizi e iniziative solidali private
Roma,Roma,Lazio,Circolo Arci Sprawasser,Spesa a domicilio per anziani,anziani over 65,3917274709,http://pigneto.romatoday.it/pigneto/progetto-spesa-anziani-sparwasser.html?fbclid=IwAR3V67Tp7IdHQ7EXfZPVrSm9j-76Hfny5rY5pzqqN4FXODN_vJXviCcEUqY,Consegne e commissioni
Catanzaro,Catanzaro,Calabria,CSV,Spesa a domicilio per anziani,anziani over 65,0961-790647 - info@csvcatanzaro.it,https://www.comune.catanzaro.it/covid-19-concolino-insieme-a-csv-servizio-spesa-a-domicilio-per-over-75/?fbclid=IwAR3ZvwupnzgnW3p_rjGNnwqClc_jY1iWiYXq9m7dSRXYpZtqVPosm6slVSY,Consegne e commissioni
Brescia,Brescia,Lombardia,associazione Diritti per tutti,"Traduzione in arabo, urdu, bengalese, spagnolo, francese e inglese dei decreti",Stranieri,,http://www.vita.it/it/article/2020/03/10/decreto-coronavirus-le-traduzioni-in-arabo-urdu-e-bengalese/154350/,Servizi e iniziative solidali private
Milano ,Milano,Lombardia,Ospedale San Raffaele,Raccolta fondi IRCCS San Raffaele,Tutt,,https://register.hsr.it/donazioni/donazione.aspx,Raccolta fondi
Milano ,Milano,Lombardia,Ospedale Maggiore Policlinico,Raccolta Fondi Ospedale Maggiore Policlinico,Tutt,,https://www.policlinico.mi.it/donazioni-lotta-al-coronavirus,Raccolta fondi
Milano ,Milano,Lombardia,Regione Lombardia,Raccolta fondi aziende ospedaliere lombarde,Tutt,,https://www.lombardianotizie.online/coronavirus-conto-corrente/,Raccolta fondi
Bergamo,Bergamo,Lombardia,Ospedale Papa Giovanni XXIII,Raccolta fondi Ospedale Papa Giovanni XXIII Bergamo,Tutt,,http://www.asst-pg23.it/2020/03/_emergenza_coronavirus_come_aiutarci/,Raccolta fondi
Brescia,Brescia,Lombardia,Fondazione Spedali Civili Brescia,"Raccolta fondi per acquistare per i propri presidi e per tutti gli ospedali della provincia di Brescia, materiali e dispositivi necessari alla cura dei pazienti colpiti da coronavirus",Tutt,,http://www.fondazionespedalicivili.it/2020/03/09/raccolta-donazioni-per-emergenza-coronavirus-brescia/,Raccolta fondi
Brescia,Brescia,Lombardia,Fondazione Comunità Bresciana Onlus,Raccolta fondi per ospedali bresciani,Tutt,,https://www.giornaledibrescia.it/brescia-e-hinterland/aiutiamobrescia-la-raccolta-fondi-per-gli-ospedali-bresciani-1.3465790,Raccolta fondi
Milano ,Milano,Lombardia,Ospedale Sacco,Raccolta fondi Ospedale Sacco Milano,Tutt,,https://www.asst-fbf-sacco.it/news/info/sostegno-economico-per-emergenza-covid-19,Raccolta fondi
Bologna,Bologna,Emilia-Romagna,Fondazione Policlinico Sant’Orsola,Raccolta fondi per aiutare concretamente le persone che lavorano negli ospedali,Personale ospedaliero,,https://www.fondazionesantorsola.it/progetti/piu-forti-insieme/,Raccolta fondi
Lombardia,Lombardia,Lombardia,Fondazione Cariplo,,,,https://www.fondazionecariplo.it/it/news/istituzionali/coronavirus-un-fondo-cariplo-per-le-comunita-in-difficolta.html?mc_cid=b726a9f831&mc_eid=04c847d138,
Roma,Roma,Lazio,Baobab,"raccolta pasti monodose, sacchetti, cibo in scatola da distribuire a migranti",migranti,,https://www.facebook.com/story.php?story_fbid=2950196055077062&id=1295938570502827&scmts=scwspsdd&extid=KB0d1KiKWVvFBYw6,
